Year_Birth,Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,number_of_progeny,years_since_joining_company,MntProds,AcceptedCmp,NumAllPurchases,Age,Total_Children,Family_Size,Has_Children,Has_Teenagers,Has_Young_Kids,Child_Dependency_Ratio,Income_Per_Person,Is_High_Income,Total_Spending,Spending_Per_Income,Spending_Per_Person,Avg_Monthly_Spending,Wine_Preference,Fruit_Preference,Meat_Preference,Fish_Preference,Sweet_Preference,Gold_Preference,Luxury_Spending,Essential_Spending,Luxury_Ratio,Essential_Ratio,Web_Purchase_Ratio,Store_Purchase_Ratio,Catalog_Purchase_Ratio,Deal_Purchase_Ratio,Channels_Used,Is_Multi_Channel,Deal_Sensitivity,Is_Deal_Hunter,Avg_Purchase_Frequency,Days_Between_Purchases,Avg_Spending_Per_Purchase,Campaign_Response_Rate,Is_Campaign_Responsive,Web_Visits_Per_Month,Web_Visits_Per_Purchase,Web_Conversion_Rate,Is_Web_Browser,Satisfaction_Score,Is_Recent_Customer,Customer_Lifetime_Value,Annual_Value,Loyalty_Score,Education_encoded,Income_Age_Interaction,Family_Income_Interaction,Spending_Age_Interaction,Income_Education_Interaction,Purchases_Per_Visit,Spending_Per_Visit,Income_Squared,Total_Spending_Squared,Age_Squared,Recency_Squared,Marital_Status_Divorced,Marital_Status_Married,Marital_Status_Single,Marital_Status_Widow,Age_Group_Young,Age_Group_Middle,Age_Group_Senior,Generation_Baby_Boomer,Generation_Gen_X,Generation_Millennial,Generation_Silent,Income_Quintile_Q1,Income_Quintile_Q2,Income_Quintile_Q3,Income_Quintile_Q4,Income_Quintile_Q5,Spending_Tier_Low,Spending_Tier_Medium,Spending_Tier_High,Income_Tier_Low,Income_Tier_Medium,Income_Tier_High,Life_Stage_Empty_Nesters,Life_Stage_Middle_Couple,Life_Stage_Middle_Family,Life_Stage_Senior_Family,Life_Stage_Young_Couple,Life_Stage_Young_Family,Life_Stage_Young_Single,Customer_Type_Campaign_Responsive,Customer_Type_Deal_Hunter,Customer_Type_High_Value_Store,Customer_Type_High_Value_Web,Customer_Type_Luxury_Buyer,Customer_Type_Regular_Customer,Recency_Group_Active,Recency_Group_Moderate,Recency_Group_Inactive,Preferred_Channel_NumCatalogPurchases,Preferred_Channel_NumStorePurchases,Preferred_Channel_NumWebPurchases,Cluster,Cluster_Name
1957,58138.0,0,0,58,635,88,546,172,88,88,3,8,10,4,7,0,0,0,0,0,0,1,0,13,1617,0,25,68,0,1,0,0,0,0.0,58138.0,0,1617,0.027812655876434063,1617.0,10.299363057324841,0.39245982694684795,0.054388133498145856,0.3374536464771323,0.10630407911001236,0.054388133498145856,0.054388133498145856,723,806,0.4468479604449938,0.49814585908529047,0.3076923076923077,0.15384615384615385,0.38461538461538464,0.11538461538461539,3,1,0.11538461538461539,0,1.7857142857142858,182.5,62.19230769230769,0.0,0,7,0.7777777777777778,1.0,1,0.0,0,1617,115.5,0.0,1,3953384.0,58138.0,109956,58138.0,1.0,202.125,3380027044.0,2614689,4624,3364,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,Premium Luxury Buyers
1954,46344.0,1,1,38,11,1,6,2,1,6,2,1,1,2,5,0,0,0,0,0,0,0,2,11,27,0,6,71,2,3,1,1,1,0.6666666666666666,15448.0,0,27,0.0005825871183514943,9.0,0.20300751879699247,0.39285714285714285,0.03571428571428571,0.21428571428571427,0.07142857142857142,0.03571428571428571,0.21428571428571427,17,9,0.6071428571428571,0.32142857142857145,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.2857142857142857,3,1,0.2857142857142857,1,0.5,573.5714285714286,3.857142857142857,0.0,0,5,2.5,0.16666666666666666,0,0.0,0,27,2.25,0.0,1,3290424.0,139032.0,1917,46344.0,0.16666666666666666,4.5,2147766336.0,729,5041,1444,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,Standard Customers Group 0
1965,71613.0,0,0,26,426,49,127,111,21,42,1,8,2,10,4,0,0,0,0,0,0,0,0,12,776,0,21,60,0,2,0,0,0,0.0,35806.5,1,776,0.010835870081269025,388.0,5.3517241379310345,0.5482625482625483,0.06306306306306306,0.16344916344916344,0.14285714285714285,0.02702702702702703,0.05405405405405406,468,287,0.6023166023166023,0.36936936936936937,0.36363636363636365,0.45454545454545453,0.09090909090909091,0.045454545454545456,3,1,0.045454545454545456,0,1.6153846153846154,199.0909090909091,35.27272727272727,0.0,0,4,0.4444444444444444,1.6,0,0.0,1,776,59.69230769230769,0.0,1,4296780.0,143226.0,46560,71613.0,1.6,155.2,5128421769.0,602176,3600,676,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,Premium Luxury Buyers
1984,26646.0,1,0,26,11,4,20,10,3,5,2,2,0,4,6,0,0,0,0,0,0,0,1,11,53,0,8,41,1,3,1,0,1,0.3333333333333333,8882.0,0,53,0.0019889668630615077,17.666666666666668,0.39849624060150374,0.2037037037037037,0.07407407407407407,0.37037037037037035,0.18518518518518517,0.05555555555555555,0.09259259259259259,16,34,0.2962962962962963,0.6296296296296297,0.2222222222222222,0.4444444444444444,0.0,0.2222222222222222,2,1,0.2222222222222222,1,0.6666666666666666,446.1111111111111,5.888888888888889,0.0,0,6,2.0,0.2857142857142857,0,0.0,1,53,4.416666666666667,0.0,1,1092486.0,79938.0,2173,26646.0,0.2857142857142857,7.571428571428571,710009316.0,2809,1681,676,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,Standard Customers Group 0
1981,58293.0,1,0,94,173,43,118,46,27,15,5,5,3,6,5,0,0,0,0,0,0,0,1,11,422,0,19,44,1,3,1,0,1,0.3333333333333333,19431.0,0,422,0.007239166981164442,140.66666666666666,3.172932330827068,0.408983451536643,0.1016548463356974,0.2789598108747045,0.10874704491725769,0.06382978723404255,0.03546099290780142,188,207,0.4444444444444444,0.48936170212765956,0.25,0.3,0.15,0.25,3,1,0.25,1,1.5833333333333333,200.75,21.1,0.0,0,5,0.8333333333333334,0.8333333333333334,0,0.0,0,422,35.166666666666664,0.0,3,2564892.0,174879.0,18568,174879.0,0.8333333333333334,70.33333333333333,3398073849.0,178084,1936,8836,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,Standard Customers Group 0
1967,62513.0,0,1,16,520,42,98,0,42,14,2,6,4,10,6,0,0,0,0,0,0,0,1,12,716,0,22,58,1,3,1,1,0,0.3333333333333333,20837.666666666668,0,716,0.011453434430687526,238.66666666666666,4.937931034482759,0.7252440725244073,0.058577405857740586,0.13668061366806136,0.0,0.058577405857740586,0.019525801952580194,534,140,0.7447698744769874,0.19525801952580196,0.2608695652173913,0.43478260869565216,0.17391304347826086,0.08695652173913043,3,1,0.08695652173913043,0,1.6923076923076923,190.43478260869566,31.130434782608695,0.0,0,6,0.8571428571428571,0.8571428571428571,0,0.0,1,716,55.07692307692308,0.0,2,3625754.0,187539.0,41528,125026.0,0.8571428571428571,102.28571428571429,3907875169.0,512656,3364,256,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,Premium Luxury Buyers
1971,55635.0,0,1,34,235,65,164,50,49,27,4,7,3,7,6,0,0,0,0,0,0,0,1,13,590,0,21,54,1,2,1,1,0,0.5,27817.5,0,590,0.010604644474800489,295.0,3.7579617834394905,0.3976311336717428,0.10998307952622674,0.27749576988155666,0.08460236886632826,0.0829103214890017,0.04568527918781726,262,279,0.4433164128595601,0.4720812182741117,0.3181818181818182,0.3181818181818182,0.13636363636363635,0.18181818181818182,3,1,0.18181818181818182,1,1.5,215.6818181818182,26.818181818181817,0.0,0,6,0.75,1.0,0,0.0,0,590,42.142857142857146,0.0,1,3004290.0,111270.0,31860,55635.0,1.0,84.28571428571429,3095253225.0,348100,2916,1156,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,Standard Customers Group 0
1985,33454.0,1,0,32,76,10,56,3,1,23,2,4,0,4,8,0,0,0,0,0,0,0,1,12,169,0,10,40,1,3,1,0,1,0.3333333333333333,11151.333333333334,0,169,0.005051561799432073,56.333333333333336,1.1655172413793105,0.4470588235294118,0.058823529411764705,0.32941176470588235,0.01764705882352941,0.0058823529411764705,0.13529411764705881,99,69,0.5823529411764706,0.40588235294117647,0.36363636363636365,0.36363636363636365,0.0,0.18181818181818182,2,1,0.18181818181818182,1,0.7692307692307693,398.1818181818182,15.363636363636363,0.0,0,8,1.6,0.4444444444444444,1,0.0,0,169,13.0,0.0,3,1338160.0,100362.0,6760,100362.0,0.4444444444444444,18.77777777777778,1119170116.0,28561,1600,1024,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,Standard Customers Group 0
1974,30351.0,1,0,19,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,0,1,1,12,46,0,6,51,1,3,1,0,1,0.3333333333333333,10117.0,0,46,0.0015155508697944123,15.333333333333334,0.31724137931034485,0.2978723404255319,0.0,0.5106382978723404,0.06382978723404255,0.06382978723404255,0.0425531914893617,16,27,0.3404255319148936,0.574468085106383,0.42857142857142855,0.2857142857142857,0.0,0.14285714285714285,2,1,0.14285714285714285,0,0.46153846153846156,625.7142857142857,6.571428571428571,0.0,0,9,2.25,0.3,1,0.0,1,46,3.5384615384615383,0.0,3,1547901.0,91053.0,2346,91053.0,0.3,4.6,921183201.0,2116,2601,361,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,Standard Customers Group 0
1950,5648.0,1,1,68,28,0,6,1,1,13,1,1,0,0,20,1,0,0,0,0,0,0,2,11,49,1,2,75,2,4,1,1,1,0.5,1412.0,0,49,0.008674101610904586,12.25,0.3684210526315789,0.56,0.0,0.12,0.02,0.02,0.26,41,7,0.82,0.14,0.3333333333333333,0.0,0.0,0.3333333333333333,1,0,0.3333333333333333,1,0.16666666666666666,1338.3333333333333,16.333333333333332,0.2,1,20,10.0,0.047619047619047616,1,0.2,0,49,4.083333333333333,2.2,3,423600.0,22592.0,3675,16944.0,0.047619047619047616,2.3333333333333335,31899904.0,2401,5625,4624,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,Standard Customers Group 0
